keyword,ISO_YEAR,ISO_WEEK,trend_value,date,INF_ALL,ILI_ACTIVITY
bol u grlu,2017,11,69.07061688311688,2017-03-13,0.0,1.0
bol u grlu,2017,12,78.12905844155844,2017-03-20,0.0,1.0
bol u grlu,2017,13,72.46753246753246,2017-03-27,0.0,1.0
bol u grlu,2017,14,75.86444805194805,2017-04-03,0.0,1.0
bol u grlu,2017,15,50.95373376623377,2017-04-10,0.0,1.0
bol u grlu,2017,16,49.82142857142857,2017-04-17,0.0,1.0
bol u grlu,2017,17,86.0551948051948,2017-04-24,0.0,1.0
bol u grlu,2017,18,62.27678571428571,2017-05-01,0.0,1.0
bol u grlu,2017,19,57.74756493506493,2017-05-08,0.0,1.0
bol u grlu,2017,20,67.93831168831169,2017-05-15,0.0,1.0
bol u grlu,2017,21,62.27678571428571,2017-05-22,,
bol u grlu,2017,22,46.42451298701299,2017-05-29,,
bol u grlu,2017,23,41.89529220779221,2017-06-05,,
bol u grlu,2017,24,40.76298701298701,2017-06-12,,
bol u grlu,2017,25,57.74756493506493,2017-06-19,,
bol u grlu,2017,26,65.6737012987013,2017-06-26,,
bol u grlu,2017,27,0.0,2017-07-03,,
bol u grlu,2017,28,63.40909090909091,2017-07-10,,
bol u grlu,2017,29,44.15990259740259,2017-07-17,,
bol u grlu,2017,30,0.0,2017-07-24,,
bol u grlu,2017,31,55.48295454545455,2017-07-31,,
bol u grlu,2017,32,60.012175324675326,2017-08-07,,
bol u grlu,2017,33,75.86444805194805,2017-08-14,,
bol u grlu,2017,34,65.6737012987013,2017-08-21,,
bol u grlu,2017,35,49.82142857142857,2017-08-28,,
bol u grlu,2017,36,79.26136363636363,2017-09-04,,
bol u grlu,2017,37,66.80600649350649,2017-09-11,,
bol u grlu,2017,38,88.31980519480518,2017-09-18,,
bol u grlu,2017,39,70.20292207792207,2017-09-25,,
bol u grlu,2017,40,67.93831168831169,2017-10-02,0.0,1.0
bol u grlu,2017,41,72.46753246753246,2017-10-09,0.0,1.0
bol u grlu,2017,42,55.48295454545455,2017-10-16,0.0,1.0
bol u grlu,2017,43,52.08603896103896,2017-10-23,0.0,1.0
bol u grlu,2017,44,70.20292207792207,2017-10-30,0.0,2.0
bol u grlu,2017,45,66.80600649350649,2017-11-06,0.0,2.0
bol u grlu,2017,46,46.42451298701299,2017-11-13,0.0,3.0
bol u grlu,2017,47,60.012175324675326,2017-11-20,0.0,3.0
bol u grlu,2017,48,76.99675324675324,2017-11-27,0.0,3.0
bol u grlu,2017,49,80.39366883116882,2017-12-04,0.0,3.0
bol u grlu,2017,50,58.87987012987013,2017-12-11,6.0,3.0
bol u grlu,2017,51,82.65827922077922,2017-12-18,19.0,3.0
bol u grlu,2017,52,92.84902597402598,2017-12-25,26.0,3.0
bol u grlu,2018,1,97.37824675324674,2018-01-01,22.0,3.0
bol u grlu,2018,2,88.31980519480518,2018-01-08,37.0,3.0
bol u grlu,2018,3,91.71672077922078,2018-01-15,88.0,3.0
bol u grlu,2018,4,88.31980519480518,2018-01-22,103.0,4.0
bol u grlu,2018,5,88.31980519480518,2018-01-29,124.0,5.0
bol u grlu,2018,6,84.9228896103896,2018-02-05,121.0,5.0
bol u grlu,2018,7,80.39366883116882,2018-02-12,66.0,5.0
bol u grlu,2018,8,65.6737012987013,2018-02-19,77.0,4.0
bol u grlu,2018,9,84.9228896103896,2018-02-26,59.0,4.0
bol u grlu,2018,10,96.24594155844156,2018-03-05,29.0,4.0
bol u grlu,2018,11,71.33522727272727,2018-03-12,20.0,4.0
bol u grlu,2018,12,100.77516233766234,2018-03-19,14.0,3.0
bol u grlu,2018,13,81.52597402597402,2018-03-26,30.0,3.0
bol u grlu,2018,14,70.20292207792207,2018-04-02,21.0,3.0
bol u grlu,2018,15,61.14448051948052,2018-04-09,16.0,3.0
bol u grlu,2018,16,70.20292207792207,2018-04-16,1.0,3.0
bol u grlu,2018,17,57.74756493506493,2018-04-23,0.0,2.0
bol u grlu,2018,18,64.5413961038961,2018-04-30,0.0,2.0
bol u grlu,2018,19,48.68912337662337,2018-05-07,0.0,1.0
bol u grlu,2018,20,44.15990259740259,2018-05-14,0.0,1.0
bol u grlu,2018,21,93.98133116883116,2018-05-21,0.0,1.0
bol u grlu,2018,22,65.6737012987013,2018-05-28,0.0,1.0
bol u grlu,2018,23,54.35064935064935,2018-06-04,0.0,1.0
bol u grlu,2018,24,60.012175324675326,2018-06-11,0.0,1.0
bol u grlu,2018,25,72.46753246753246,2018-06-18,0.0,1.0
bol u grlu,2018,26,52.08603896103896,2018-06-25,0.0,1.0
bol u grlu,2018,27,58.00305328940127,2018-07-02,0.0,1.0
bol u grlu,2018,28,60.151314522342055,2018-07-09,0.0,1.0
bol u grlu,2018,29,62.299575755282845,2018-07-16,0.0,1.0
bol u grlu,2018,30,60.151314522342055,2018-07-23,0.0,1.0
bol u grlu,2018,31,62.299575755282845,2018-07-30,0.0,1.0
bol u grlu,2018,32,73.04088191998679,2018-08-06,0.0,1.0
bol u grlu,2018,33,38.66870219293418,2018-08-13,0.0,1.0
bol u grlu,2018,34,55.85479205646048,2018-08-20,0.0,1.0
bol u grlu,2018,35,55.85479205646048,2018-08-27,0.0,1.0
bol u grlu,2018,36,64.44783698822363,2018-09-03,0.0,1.0
bol u grlu,2018,37,62.299575755282845,2018-09-10,0.0,1.0
bol u grlu,2018,38,60.151314522342055,2018-09-17,0.0,1.0
bol u grlu,2018,39,70.89262068704599,2018-09-24,0.0,1.0
bol u grlu,2018,40,58.00305328940127,2018-10-01,0.0,1.0
bol u grlu,2018,41,66.59609822116443,2018-10-08,0.0,1.0
bol u grlu,2018,42,64.44783698822363,2018-10-15,0.0,1.0
bol u grlu,2018,43,83.78218808469072,2018-10-22,0.0,1.0
